Date,Prev Close,Open,High,Low,Last,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Close
23-06-2004,2,500,745,150,638,627.71,2699293,1.69E+14,,395612,0.1466,635.95
24-06-2004,635.95,630,630,608.4,612,618.21,913575,5.65E+13,,305751,0.3347,616
25-06-2004,616,619,679,616.1,665,658.45,1637383,1.08E+14,,217950,0.1331,668.3
28-06-2004,668.3,660,671.9,640.2,653,657.39,913349,6.00E+13,,194984,0.2135,656.4
29-06-2004,656.4,656,683.4,653,666.85,675.11,743063,5.02E+13,,101786,0.137,671.7
30-06-2004,671.7,672,700,670,697.85,690.66,722230,4.99E+13,,149425,0.2069,695.15
01-07-2004,695.15,702,765,690.1,764,726.59,1582574,1.15E+14,,185737,0.1174,745.2
02-07-2004,745.2,745,780,724.65,727,753.03,2988945,2.25E+14,,268657,0.0899,730.5
05-07-2004,730.5,728.2,743.5,711.1,714,726,1272188,9.24E+13,,130172,0.1023,719.05
06-07-2004,719.05,721.8,738,715.3,727.9,726.59,1081518,7.86E+13,,238350,0.2204,729.6
07-07-2004,729.6,733,739,725.2,726.3,733.01,603840,4.43E+13,,143884,0.2383,727.7
08-07-2004,727.7,730,742,695.7,710,728.55,582272,4.24E+13,,127203,0.2185,711.95
09-07-2004,711.95,695,748,625,744,730.56,564885,4.13E+13,,121476,0.215,744.75
12-07-2004,744.75,744,752,717.5,720,732.69,344052,2.52E+13,,97407,0.2831,724.25
13-07-2004,724.25,727.7,739.9,720,737.9,728.34,236313,1.72E+13,,56616,0.2396,731.15
14-07-2004,731.15,738,740,712.15,716.75,725.46,268530,1.95E+13,,127144,0.4735,716.8
15-07-2004,716.8,725,732,715,726,724.59,203453,1.47E+13,,35748,0.1757,724.4
16-07-2004,724.4,727.8,763.9,727,754.9,752.54,820709,6.18E+13,,220221,0.2683,755.95
19-07-2004,755.95,758.8,777,748,764,765.87,776088,5.94E+13,,202984,0.2615,765.15
20-07-2004,765.15,762,799,756,791.15,783.49,1624418,1.27E+14,,239247,0.1473,792.8
21-07-2004,792.8,795,806.2,776.15,785,798.03,1116756,8.91E+13,,227763,0.204,796.3
22-07-2004,796.3,794.8,806.7,775.25,781,795.51,674330,5.36E+13,,195573,0.29,784.2
23-07-2004,784.2,784,789,765.2,778,773.5,566045,4.38E+13,,234804,0.4148,775.65
26-07-2004,775.65,760,783.7,755,776.3,772.17,678799,5.24E+13,,198611,0.2926,774.9
27-07-2004,774.9,779.95,797,755.2,791.3,787.18,402026,3.16E+13,,106191,0.2641,790.45
28-07-2004,790.45,805,835,770,771,780.84,341758,2.67E+13,,146120,0.4276,771.7
29-07-2004,771.7,775,783.1,772.2,777.5,777.19,289202,2.25E+13,,174501,0.6034,776.75
30-07-2004,776.75,783,789.7,768.85,775,780.97,348355,2.72E+13,,191902,0.5509,774.7
02-08-2004,774.7,781.5,784.9,750.5,760.1,765.67,433862,3.32E+13,,136258,0.3141,760.05
03-08-2004,760.05,764,776,762.5,772.25,769.84,342187,2.63E+13,,108880,0.3182,768.6
04-08-2004,768.6,768,804,766,800.1,789.66,704854,5.57E+13,,169241,0.2401,798.1
